,cod,valor,periodo
656,35,7035,2013-01-15
657,33,2704,2013-01-15
658,32,1068,2013-01-15
659,31,4321,2013-01-15
660,28,662,2013-01-15
661,27,778,2013-01-15
662,26,1883,2013-01-15
663,22,1099,2013-01-15
664,23,2455,2013-01-15
665,24,623,2013-01-15
666,11,552,2013-01-15
667,12,135,2013-01-15
668,25,1019,2013-01-15
669,13,529,2013-01-15
670,14,155,2013-01-15
671,15,1743,2013-01-15
672,16,137,2013-01-15
673,17,512,2013-01-15
674,21,1660,2013-01-15
675,12,140,2014-01-15
676,27,835,2014-01-15
677,28,528,2014-01-15
678,29,2880,2014-01-15
679,31,4391,2014-01-15
680,32,992,2014-01-15
681,33,2918,2014-01-15
682,35,7444,2014-01-15
683,41,3073,2014-01-15
684,22,1211,2014-01-15
685,42,1882,2014-01-15
686,43,2102,2014-01-15
687,11,550,2014-01-15
688,50,830,2014-01-15
689,51,1175,2014-01-15
690,52,2166,2014-01-15
691,53,523,2014-01-15
692,23,2654,2014-01-15
693,24,593,2014-01-15
694,25,969,2014-01-15
695,26,1946,2014-01-15
696,21,1842,2014-01-15
697,17,589,2014-01-15
698,16,130,2014-01-15
699,15,1792,2014-01-15
700,14,147,2014-01-15
701,13,521,2014-01-15
702,25,1022,2015-01-15
703,53,466,2015-01-15
704,52,1890,2015-01-15
705,51,1073,2015-01-15
706,50,661,2015-01-15
707,43,1826,2015-01-15
708,42,1593,2015-01-15
709,41,2738,2015-01-15
710,35,6270,2015-01-15
711,33,2210,2015-01-15
712,32,853,2015-01-15
713,31,3942,2015-01-15
714,29,2403,2015-01-15
715,28,565,2015-01-15
716,27,734,2015-01-15
717,26,1909,2015-01-15
718,24,599,2015-01-15
719,23,2320,2015-01-15
720,22,1131,2015-01-15
721,21,1654,2015-01-15
722,17,546,2015-01-15
723,16,95,2015-01-15
724,15,1763,2015-01-15
725,14,164,2015-01-15
726,11,511,2015-01-15
727,12,119,2015-01-15
728,13,486,2015-01-15
729,28,475,2016-01-15
730,14,109,2016-01-15
731,15,1724,2016-01-15
732,16,98,2016-01-15
733,17,558,2016-01-15
734,21,1714,2016-01-15
735,22,1055,2016-01-15
736,23,2066,2016-01-15
737,24,613,2016-01-15
738,25,1021,2016-01-15
739,26,1892,2016-01-15
740,27,730,2016-01-15
741,29,2490,2016-01-15
742,31,3643,2016-01-15
743,32,839,2016-01-15
744,12,125,2016-01-15
745,11,490,2016-01-15
746,13,473,2016-01-15
747,33,2278,2016-01-15
748,35,5846,2016-01-15
749,41,2753,2016-01-15
750,42,1526,2016-01-15
751,43,1821,2016-01-15
752,50,638,2016-01-15
753,51,1061,2016-01-15
754,52,1791,2016-01-15
755,53,436,2016-01-15
756,52,1652,2017-01-15
757,11,493,2017-01-15
758,12,120,2017-01-15
759,13,438,2017-01-15
760,14,138,2017-01-15
761,15,1609,2017-01-15
762,16,96,2017-01-15
763,17,577,2017-01-15
764,21,1465,2017-01-15
765,22,1001,2017-01-15
766,23,2017,2017-01-15
767,24,570,2017-01-15
768,53,341,2017-01-15
769,25,916,2017-01-15
770,26,1704,2017-01-15
771,27,627,2017-01-15
772,28,415,2017-01-15
773,29,2396,2017-01-15
774,31,3723,2017-01-15
775,32,924,2017-01-15
776,33,2153,2017-01-15
777,35,5462,2017-01-15
778,41,2563,2017-01-15
779,42,1522,2017-01-15
780,43,1893,2017-01-15
781,50,590,2017-01-15
782,51,1025,2017-01-15
783,17,474,2018-01-15
784,11,404,2018-01-15
785,12,100,2018-01-15
786,13,485,2018-01-15
787,14,94,2018-01-15
788,15,1507,2018-01-15
789,16,67,2018-01-15
790,21,1395,2018-01-15
791,22,966,2018-01-15
792,23,1923,2018-01-15
793,24,537,2018-01-15
794,25,867,2018-01-15
795,26,1575,2018-01-15
796,27,595,2018-01-15
797,28,398,2018-01-15
798,29,2191,2018-01-15
799,31,3298,2018-01-15
800,32,779,2018-01-15
801,33,2085,2018-01-15
802,35,4730,2018-01-15
803,41,2458,2018-01-15
804,42,1397,2018-01-15
805,43,1768,2018-01-15
806,50,572,2018-01-15
807,51,1064,2018-01-15
808,52,1540,2018-01-15
809,53,356,2018-01-15
810,53,339,2019-01-15
811,11,400,2019-01-15
812,12,121,2019-01-15
813,13,472,2019-01-15
814,14,122,2019-01-15
815,15,1414,2019-01-15
816,16,86,2019-01-15
817,17,464,2019-01-15
818,21,1313,2019-01-15
819,22,882,2019-01-15
820,23,1662,2019-01-15
821,24,475,2019-01-15
822,25,778,2019-01-15
823,26,1492,2019-01-15
824,27,616,2019-01-15
825,28,400,2019-01-15
826,29,2470,2019-01-15
827,31,3193,2019-01-15
828,32,776,2019-01-15
829,33,1562,2019-01-15
830,35,5181,2019-01-15
831,41,2436,2019-01-15
832,42,1447,2019-01-15
833,43,1692,2019-01-15
834,50,627,2019-01-15
835,51,979,2019-01-15
836,52,1480,2019-01-15
837,43,1578,2020-01-15
838,11,428,2020-01-15
839,12,112,2020-01-15
840,13,458,2020-01-15
841,14,133,2020-01-15
842,15,1631,2020-01-15
843,16,79,2020-01-15
844,17,474,2020-01-15
845,21,1448,2020-01-15
846,22,909,2020-01-15
847,23,1748,2020-01-15
848,24,474,2020-01-15
849,25,794,2020-01-15
850,26,1522,2020-01-15
851,27,675,2020-01-15
852,28,417,2020-01-15
853,29,2413,2020-01-15
854,31,2958,2020-01-15
855,32,762,2020-01-15
856,33,1830,2020-01-15
857,35,5326,2020-01-15
858,41,2525,2020-01-15
859,42,1362,2020-01-15
860,50,620,2020-01-15
861,51,1116,2020-01-15
862,52,1597,2020-01-15
863,53,327,2020-01-15
864,51,1213,2021-01-15
865,11,474,2021-01-15
866,12,93,2021-01-15
867,13,465,2021-01-15
868,14,147,2021-01-15
869,15,1607,2021-01-15
870,16,98,2021-01-15
871,52,1686,2021-01-15
872,17,534,2021-01-15
873,21,1467,2021-01-15
874,22,902,2021-01-15
875,23,1902,2021-01-15
